make,fuel-type,num-of-doors,body-style,curb-weight,engine-size,horsepower,city-mpg,highway-mpg,price,volume,eco-rating
mazda,gas,two,hatchback,1905,91,68,31,38,6795,552589.302,56.292625077278416
mazda,gas,four,sedan,1945,91,68,31,38,6695,579333.0960000001,56.8334519049094
mazda,gas,four,sedan,1950,91,68,31,38,7395,579333.0960000001,56.780391427106345
mazda,gas,two,hatchback,2380,70,101,17,23,10945,550723.68,28.409015491413808
mazda,gas,two,hatchback,2380,70,101,17,23,11845,550723.68,28.409015491413808
mazda,gas,two,hatchback,2385,70,101,17,23,13645,550723.68,28.375312733240282
mazda,gas,two,hatchback,2500,80,135,16,23,15645,550723.68,26.816423839615283
mazda,gas,two,hatchback,2385,122,84,26,32,8845,634932.6900000001,45.605110222859494
mazda,gas,four,sedan,2410,122,84,26,32,8495,656215.3500000001,46.02677820397636
mazda,gas,two,hatchback,2385,122,84,26,32,10595,634932.6900000001,45.605110222859494
mazda,gas,four,sedan,2410,122,84,26,32,10245,656215.3500000001,46.02677820397636
mazda,diesel,,sedan,2443,122,64,36,42,10795,656215.3500000001,58.66673922260021
mazda,gas,four,hatchback,2425,122,84,26,32,11245,656215.3500000001,45.909764725938246
mazda,gas,four,sedan,2670,140,120,19,27,18280,629271.9999999999,33.63237665165646
mazda,diesel,four,sedan,2700,134,72,31,39,18344,629271.9999999999,49.629670707615865
mercedes-benz,diesel,four,sedan,3515,183,123,22,25,25552,758245.255,29.54304678676351
mercedes-benz,diesel,four,wagon,3750,183,123,22,25,28248,787769.849,29.150858992112035
mercedes-benz,diesel,two,hardtop,3495,183,123,22,25,28176,723650.625,28.94112525407232
mercedes-benz,diesel,four,sedan,3770,183,123,22,25,31600,817837.446,29.62752875337437
mercedes-benz,gas,four,sedan,3740,234,155,16,18,34184,820742.73,22.653430208473395
mercedes-benz,gas,two,convertible,3685,234,155,16,18,35056,645726.42,19.58133448014647
mercedes-benz,gas,four,sedan,3900,308,184,14,16,40960,846007.6590000001,19.19428109514973
mercedes-benz,gas,two,hardtop,3715,304,184,14,16,45400,794568.96,18.982816648412246
mercury,gas,two,hatchback,2910,140,175,19,24,16503,664789.76,30.667113940541707
mitsubishi,gas,two,hatchback,1918,92,68,37,41,5389,514610.096,62.16872971522983
mitsubishi,gas,two,hatchback,1944,92,68,31,38,6189,514610.096,54.531023386041156
mitsubishi,gas,two,hatchback,2004,92,68,31,38,6669,514610.096,53.98038991824695
mitsubishi,gas,two,hatchback,2145,98,102,24,30,7689,509815.59199999995,40.33836666507308
mitsubishi,gas,two,hatchback,2370,110,116,23,30,9959,558921.48,39.389292834780974
mitsubishi,gas,two,hatchback,2328,122,88,25,32,8499,558921.48,42.96862016263071
mitsubishi,gas,two,hatchback,2833,156,145,19,24,12629,576454.632,28.93221988358882
mitsubishi,gas,two,hatchback,2921,156,145,19,24,14869,576454.632,28.506330608604415
mitsubishi,gas,two,hatchback,2926,156,145,19,24,14489,576454.632,28.482901471789667
mitsubishi,gas,four,sedan,2365,122,88,25,32,6989,581787.9360000001,43.37939527615833
mitsubishi,gas,four,sedan,2405,122,88,25,32,8189,581787.9360000001,43.095141981815964
mitsubishi,gas,four,sedan,2403,110,116,23,30,9279,581787.9360000001,39.825396690985826
mitsubishi,gas,four,sedan,2403,110,116,23,30,9279,581787.9360000001,39.825396690985826
nissan,gas,two,sedan,1889,97,69,31,37,5499,574764.63,56.4579647529905
nissan,diesel,two,sedan,2017,103,55,45,50,7099,574764.63,73.75849641990824
nissan,gas,two,sedan,1918,97,69,31,37,6649,574764.63,56.13834434513541
nissan,gas,four,sedan,1938,97,69,31,37,6849,574764.63,55.92348973126463
nissan,gas,four,wagon,2024,97,69,31,37,7349,580943.6599999999,55.260097764168556
nissan,gas,two,sedan,1951,97,69,31,37,7299,574764.63,55.78619642162202
nissan,gas,two,hatchback,2028,97,69,31,37,7799,563129.4239999999,54.61049009163052
nissan,gas,four,sedan,1971,97,69,31,37,7499,574764.63,55.578512361139396
nissan,gas,four,wagon,2037,97,69,31,37,7999,580943.6599999999,55.13283455771769
nissan,gas,two,hardtop,2008,97,69,31,37,8249,552247.696,54.42614037045955
nissan,gas,four,hatchback,2324,120,97,27,34,8949,618420.696,48.059760131831986
nissan,gas,four,sedan,2302,120,97,27,34,9549,618420.696,48.23644212203977
nissan,gas,four,sedan,3095,181,152,17,22,13499,665776.0549999999,26.456819341510098
nissan,gas,four,wagon,3296,181,152,17,22,14399,688677.99,26.028169715108273
nissan,gas,four,sedan,3060,181,152,19,25,13499,676402.09,30.97368013758965
nissan,gas,two,hatchback,3071,181,160,19,25,17199,576049.341,28.648407796302987
nissan,gas,two,hatchback,3139,181,200,17,23,19699,576049.341,25.082365742742397
nissan,gas,two,hatchback,3139,181,160,19,25,18399,602371.4550000001,28.948680164006426
peugot,gas,four,sedan,3020,120,97,19,24,11900,724074.876,31.452859768979668
peugot,diesel,four,sedan,3197,152,95,28,33,13200,724074.876,41.78426782315908
peugot,gas,four,wagon,3230,120,97,19,24,12440,798599.4120000001,31.972844085725644
peugot,diesel,four,wagon,3430,152,95,25,25,13860,798599.4120000001,33.19461651702171
peugot,gas,four,sedan,3075,120,95,19,24,15580,724074.876,31.154925036836616
peugot,diesel,four,sedan,3252,152,95,28,33,16900,724074.876,41.51814628528141
peugot,gas,four,wagon,3285,120,95,19,24,16695,771389.8920000001,31.10979288350386
peugot,diesel,four,wagon,3485,152,95,25,25,17075,798599.4120000001,32.939333571185706
peugot,gas,four,sedan,3075,120,97,19,24,16630,724074.876,31.154925036836616
peugot,diesel,four,sedan,3252,152,95,28,33,17950,724074.876,41.51814628528141
peugot,gas,four,sedan,3130,134,142,18,24,18150,714090.1599999999,29.82490272721962
plymouth,gas,two,hatchback,1918,90,68,37,41,5572,509815.59199999995,61.99506079180501
plymouth,gas,two,hatchback,2128,98,102,24,30,7957,509815.59199999995,40.470280438768924
plymouth,gas,four,hatchback,1967,90,68,31,38,6229,507808.444,54.075741361398755
plymouth,gas,four,sedan,1989,90,68,31,38,6692,542225.992,55.079543009898494
plymouth,gas,four,sedan,2191,98,68,31,38,7609,542225.992,53.333392921111155
plymouth,gas,four,wagon,2535,122,88,24,30,8921,674493.7679999998,42.31118751036275
plymouth,gas,two,hatchback,2818,156,145,19,24,12764,576454.632,29.007468039048224
porsche,gas,two,hatchback,2778,151,143,19,27,22018,579100.6740000001,31.741077103679554
porsche,gas,two,hardtop,2756,194,207,17,25,32528,566490.6,28.255071437641433
porsche,gas,two,hardtop,2756,194,207,17,25,34028,566490.6,28.255071437641433
porsche,gas,two,convertible,2800,194,207,17,25,37028,566490.6,28.030665073455012
porsche,gas,two,hatchback,3366,203,288,17,28,,641507.0549999999,29.67827028629107
renault,gas,four,wagon,2579,132,,23,31,9295,666250.2000000001,41.77374120604513
renault,gas,two,hatchback,2460,132,,23,31,9895,594631.44,40.61931082941276
saab,gas,two,hatchback,2658,121,110,21,28,11850,696139.29,37.91687571670028
saab,gas,four,sedan,2695,121,110,21,28,12170,696139.29,37.66706494927131
saab,gas,two,hatchback,2707,121,110,21,28,15040,696139.29,37.587511796405224
saab,gas,four,sedan,2758,121,110,21,28,15510,696139.29,37.25713401372213
saab,gas,two,hatchback,2808,121,160,19,26,18150,696139.29,33.661151265771956
saab,gas,four,sedan,2847,121,160,19,26,18620,696139.29,33.42521037645909
subaru,gas,two,hatchback,2050,97,69,31,36,5118,534178.6020000001,52.6013784669569
subaru,gas,two,hatchback,2120,108,73,26,31,7053,539279.028,43.96143899148873
subaru,gas,two,hatchback,2240,108,73,26,31,7603,558990.718,43.6260515302758
subaru,gas,four,sedan,2145,108,82,32,37,7126,590562.0,55.267674793460955
subaru,gas,four,sedan,2190,108,82,28,33,7775,590562.0,48.30717121220539
subaru,gas,four,sedan,2340,108,94,26,32,9960,590562.0,44.643424383581895
subaru,gas,four,sedan,2385,108,82,24,25,9233,610809.8400000001,37.514014870945125
subaru,gas,four,sedan,2510,108,111,24,29,11259,610809.8400000001,39.911651692978786
subaru,gas,four,wagon,2290,108,82,28,32,7463,601385.7000000001,46.99649848360521
subaru,gas,four,wagon,2455,108,94,25,31,10198,601385.7000000001,42.486520725541666
subaru,gas,four,wagon,2420,108,82,23,29,8013,623303.856,40.078166085191654
subaru,gas,four,wagon,2650,108,111,23,23,11694,623303.856,33.599487667672165
toyota,gas,two,hatchback,1985,92,62,35,39,5348,550085.94,59.49747232355909
toyota,gas,two,hatchback,2040,92,62,31,38,6338,550085.94,54.87373145055512
toyota,gas,four,hatchback,2015,92,62,31,38,6488,550085.94,55.10616154843155
toyota,gas,four,wagon,2280,92,62,31,37,6918,637861.572,54.755457270545406
toyota,gas,four,wagon,2290,92,62,27,32,7898,637861.572,47.28218190956378
toyota,gas,four,wagon,3110,92,62,27,32,8778,637861.572,42.17981777109809
toyota,gas,four,sedan,2081,98,70,30,37,6938,567615.16,53.44798679994665
toyota,gas,four,hatchback,2109,98,70,30,37,7198,565473.216,53.12583853247922
toyota,diesel,four,sedan,2275,110,56,34,36,7898,567615.16,50.771659612953854
toyota,diesel,four,hatchback,2275,110,56,38,47,7788,565473.216,63.020247678166584
toyota,gas,four,sedan,2094,98,70,38,47,7738,567615.16,68.10714063302785
toyota,gas,four,hatchback,2122,98,70,28,34,8358,565473.216,48.90705237111536
toyota,gas,four,sedan,2140,98,70,28,34,9258,565473.216,48.75132949333402
toyota,gas,two,sedan,2169,98,70,29,34,8058,567911.6799999999,49.40491829291033
toyota,gas,two,hatchback,2204,98,70,29,34,8238,567911.6799999999,49.11604676898566
toyota,gas,two,sedan,2265,98,112,26,29,9298,567911.6799999999,42.0664573431138
toyota,gas,two,hatchback,2300,98,112,26,29,9538,567911.6799999999,41.80137559108284
toyota,gas,two,hardtop,2540,146,116,24,30,8449,601053.4399999998,40.266039687788705
toyota,gas,two,hardtop,2536,146,116,24,30,9639,601053.4399999998,40.2919705610315
toyota,gas,two,hatchback,2551,146,116,24,30,9989,601053.4399999998,40.195149091945765
toyota,gas,two,hardtop,2679,146,116,24,30,11199,601053.4399999998,39.41304075707003
toyota,gas,two,hatchback,2714,146,116,24,30,11549,601053.4399999998,39.21202708180008
toyota,gas,two,convertible,2975,146,116,24,30,17669,612612.1599999999,38.13211152612336
toyota,gas,four,sedan,2326,122,92,29,34,8948,641089.26,50.362812558113035
toyota,diesel,four,sedan,2480,110,73,30,33,10698,641089.26,45.65057748932864
toyota,gas,four,hatchback,2414,122,92,27,32,9988,629411.86,46.04496310314604
toyota,gas,four,sedan,2414,122,92,27,32,10898,641089.26,46.381037881402186
toyota,gas,four,hatchback,2458,122,92,27,32,11248,629411.86,45.72070153109058
toyota,gas,two,hatchback,2976,171,161,20,24,16558,645993.4,30.697256764047747
toyota,gas,two,hatchback,3016,171,161,19,24,15998,645993.4,29.676313864997937
toyota,gas,four,sedan,3131,171,156,20,24,15690,675638.67,30.608494618038627
toyota,gas,four,wagon,3151,161,156,19,24,15750,675638.67,29.692404468299692
volkswagen,diesel,two,sedan,2261,97,52,37,46,7775,626421.695,63.358098636022845
volkswagen,gas,two,sedan,2209,109,85,27,34,7975,626421.695,49.27384522226285
volkswagen,diesel,four,sedan,2264,97,52,37,46,7995,626421.695,63.33259288653464
volkswagen,gas,four,sedan,2212,109,85,27,34,8195,626421.695,49.24712535870162
volkswagen,gas,four,sedan,2275,109,85,27,34,8495,626421.695,48.70228678694708
volkswagen,diesel,four,sedan,2319,97,68,37,42,9495,626421.695,59.59294945282701
volkswagen,gas,four,sedan,2300,109,100,26,32,9995,626421.695,46.03155332377329
volkswagen,gas,two,convertible,2254,109,90,24,29,11595,568624.5360000001,40.5315746524013
volkswagen,gas,two,hatchback,2221,109,90,24,29,9980,545086.72,40.05570574712924
volkswagen,gas,four,sedan,2661,136,110,19,24,13295,664251.4380000001,32.1382177531054
volkswagen,diesel,four,sedan,2579,97,68,33,38,13845,664251.4380000001,52.152591302672334
volkswagen,gas,four,wagon,2563,109,88,25,31,12290,674941.3890000001,43.763241142063684
volvo,gas,four,sedan,2912,141,114,23,28,12940,713029.6320000001,38.374590752441094
volvo,gas,four,wagon,3034,141,114,23,28,13415,729523.2000000001,38.0682231220649
volvo,gas,four,sedan,2935,141,114,24,28,15985,713029.6320000001,39.062213979552205
volvo,gas,four,wagon,3042,141,114,24,28,16515,729523.2000000001,38.84522438597775
volvo,gas,four,sedan,3045,130,162,17,22,18420,713029.6320000001,27.780359035472486
volvo,gas,four,wagon,3157,130,162,17,22,18950,729523.2000000001,27.566173242530102
volvo,gas,four,sedan,2952,141,114,23,28,16845,721961.7600000001,38.35429821466679
volvo,gas,four,sedan,3049,141,160,19,25,19045,720913.92,32.04333482520912
volvo,gas,four,sedan,3012,173,134,18,23,21485,721961.7600000001,29.806494449828108
volvo,diesel,four,sedan,3217,145,106,26,27,22470,721961.7600000001,35.073341973294056
volvo,gas,four,sedan,3062,141,114,19,25,22625,721961.7600000001,31.99736813843504
